id,expected return,recommendation,country,industry,index,stock price,expected return amount
Invest0,1.00125,Strong Sell,FR,Utilities,0,161.15,161.3514375
Invest1,1.56359,Buy,IT,Utilities,1,83.46,130.4972214
Invest2,1.1933,Neutral,DE,Chemicals,2,24.38,29.092654
Invest3,1.80874,Strong Buy,DE,Chemicals,3,76.555,138.4680907
Invest4,1.58501,Buy,FR,Insurance,4,122.3,193.846723
Invest5,1.47987,Buy,NL,Technology,5,7.646,11.31508602
Invest6,1.35029,Neutral,DE,Insurance,6,96.9,130.843101
Invest7,1.89596,Strong Buy,FR,Industrial Goods & Services,7,54.37,103.0833452
Invest8,1.82284,Strong Buy,FR,Chemicals,8,27.84,50.7478656
Invest9,1.7466,Strong Buy,BE,Food & Beverage,9,78.63,137.335158
Invest10,1.17411,Neutral,DE,Utilities,10,63.61,74.6851371
Invest11,1.85894,Strong Buy,DE,Technology,11,23.6,43.870984
Invest12,1.7105,Strong Buy,DE,Industrial Goods & Services,12,26.64,45.56772
Invest13,1.51353,Buy,DE,Banks,13,16.88,25.5483864
Invest14,1.30399,Neutral,FR,Food & Beverage,14,8.78,11.4490322
Invest15,1.01498,Strong Sell,DE,Automobiles & Parts,15,4.049,4.10965402
Invest16,1.0914,Sell,FR,Retail,16,16.22,17.702508
Invest17,1.36445,Buy,FR,Banks,17,14.895,20.32348275
Invest18,1.14731,Sell,DE,Automobiles & Parts,18,119.05,136.5872555
Invest19,1.1659,Neutral,ES,Banks,19,17.435,20.3274665
